,xcoord,ycoord,year,datestop,timestop,crimsusp,arstmade,addrtyp,rescode,premtype,premname,addrnum,stname,stinter,crossst,city,state,zip,lat,long
67,993473,162286,2015,1022015,331,GLA,N,L, , ,STREET, , ,EAST 7 STREET,AVENUE O,BROOKLYN, , ,40.733215,-74.003031
68,993473,162286,2015,1022015,331,GLA,N,L, , ,STREET, , ,EAST 7 STREET,AVENUE O,BROOKLYN, , ,40.733215,-74.003031
69, , ,2015,1022015,600,FELONY ASSAULT,N,L, , , , , , , ,BRONX, , ,40.714269,-74.005973
70,990559,202328,2015,1022015,1023,FEL,N,L, , ,STREET,60,AVENUE D,EAST 6 STREET,EAST HOUSTON STREET,MANHATTAN, , ,40.72191,-73.977245
71,982304,185597,2015,1022015,1030,MISD,Y,L, , ,SIDEWALK,452,COLUMBIA STREET,LORRAINE STREET,WEST 9 STREET,BROOKLYN, , ,40.719933,-73.978752
72,1022463,264124,2015,1022015,1200,FEL/ROB,Y,L, , ,STREET, , ,CARPENTER AVENUE,EAST 229 STREET,BRONX, , ,42.650982,-77.038062
73,1047538,199989,2015,1022015,1232,FELONY,N,L, , ,HOUSE,88-21,190 STREET,89 AVENUE,HILLSIDE AVENUE,QUEENS, , ,40.853718,-73.9268
74,1005204,191779,2015,1022015,1350,FEL,N,L, , , , , ,GREENE AVENUE,BUSHWICK AVENUE,BROOKLYN, , ,40.723794,-74.000367
75,1005204,191779,2015,1022015,1350,FEL,N,L, , , , , ,GREENE AVENUE,BUSHWICK AVENUE,BROOKLYN, , ,40.723794,-74.000367
76,1036191,205381,2015,1022015,1355,ROBBERY,N,L, , ,STREET,156-07,71 AVENUE,PARSONS BOULEVARD,KISSENA BOULEVARD,QUEENS, , ,40.775671,-73.976552
77,996342,173944,2015,1022015,1440,MIS/ASSAULT,N,L, , ,SIDEWALK,2201,CORTELYOU ROAD,EAST 23 STREET,EAST 22 STREET,BROOKLYN, , ,40.714269,-74.005973
78,984479,173184,2015,1022015,1450,CPW,N,L, , ,STREET, , ,9 AVENUE,46 STREET,BROOKLYN, , ,40.756208,-73.979187
79,1007213,248747,2015,1022015,1601,CPW,N,L, , ,ST,1705,UNIVERSITY AVENUE,WEST TREMONT AVENUE,WEST 176 STREET,BRONX, , ,40.735203,-73.991692
80,1007213,248747,2015,1022015,1601,CPW,Y,L, , ,RESIDENTIAL/STREET,1705,UNIVERSITY AVENUE,WEST TREMONT AVENUE,WEST 176 STREET,BRONX, , ,40.735203,-73.991692
81,1007213,248747,2015,1022015,1601,CPW,N,L, , ,ST,1705,UNIVERSITY AVENUE,WEST TREMONT AVENUE,WEST 176 STREET,BRONX, , ,40.735203,-73.991692
82,985098,168368,2015,1022015,1608,PETIT LARCENY,Y,L, , ,STREET,1346,59 STREET,NEW UTRECHT AVENUE,13 AVENUE,BROOKLYN, , ,40.763364,-73.970852
83,1014608,240375,2015,1022015,1700,GRAND LARCENY,N,L, , ,STREET,1106,WEST FARMS ROAD,EAST 167 STREET,HOE AVENUE,BRONX, , ,40.714269,-74.005973
84,1014608,240375,2015,1022015,1700,GRAND LARCENY,N,L, , ,STREET,1106,WEST FARMS ROAD,EAST 167 STREET,HOE AVENUE,BRONX, , ,40.714269,-74.005973
85,1014608,240375,2015,1022015,1700,GRAND LARCENY,N,L, , ,STREET,1106,WEST FARMS ROAD,EAST 167 STREET,HOE AVENUE,BRONX, , ,40.714269,-74.005973
86,987636,212439,2015,1022015,1805,ASLT,N,L, , , , , ,WEST 34 STREET,AVENUE OF THE AMERICAS,MANHATTAN, , ,40.754585,-73.999143
87, , ,2015,1022015,1820,ROBBERY AT GUN POINT,N,L, , ,RESIDENTIAL, , ,VANNEST AVENUE,MORRIS PARK AVENUE,BRONX, , ,40.776654,-73.959774
